match,team1,book1,team1_odd,team2,book2,team2_odd,profit_%
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,1xBet,3.44,25.68
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Winamax (FR),3.3,24.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Winamax (DE),3.35,24.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,MyBookie.ag,3.28,24.26
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Tipico,3.3,24.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Betfair,3.5,26.18
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Marathon Bet,3.38,25.17
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Unibet,3.45,25.77
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Nordic Bet,3.25,23.98
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Betsson,3.35,24.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,888sport,3.4,25.34
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,William Hill,3.3,24.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Everygame,3.35,24.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Coolbet,3.57,26.74
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Parions Sport (FR),3.3,24.45
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Matchbook,3.5,26.18
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,GTbets,3.38,25.17
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,BetOnline.ag,3.36,24.99
Crystal Palace vs Nottingham Forest,Crystal Palace,Pinnacle,2.21,Nottingham Forest,Betclic,3.33,24.72
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Pinnacle,3.39,25.86
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Winamax (FR),3.3,25.05
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Winamax (DE),3.35,25.51
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,MyBookie.ag,3.28,24.87
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Tipico,3.3,25.05
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Betfair,3.5,26.79
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Marathon Bet,3.38,25.77
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Unibet,3.45,26.37
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Nordic Bet,3.25,24.59
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,Betsson,3.35,25.51
Crystal Palace vs Nottingham Forest,Crystal Palace,1xBet,2.24,Nottingham Forest,888sport,3.4,25.95
